ID,Acronym,Hemisphere,"Sample Number
Brain 1","Sample Number
Brain 2",Structures represented with at least n=2 samples in both brains,Structures,,,,,,,,,
4005,Br,,,,,Brain,,,,,,,,,
4006,GM,,,,,,Grey Matter,,,,,,,,
4007,Tel,,,,,,,Telencephalon,,,,,,,
4008,Cx,,,,,,,,Cerebral Cortex,,,,,,
4009,FL,,,,,,,,,Frontal Lobe,,,,,
4053,AOrG,,,,,,,,,,anterior orbital gyrus,,,,
4054,AOrG,L,,,,,,,,,,"anterior orbital gyrus, Left",,,
4055,AOrG,R,1,,,,,,,,,"anterior orbital gyrus, Right",,,
4078,fro,,,,x,,,,,,frontal operculum,,,,
4079,fro,L,3,1,,,,,,,,"frontal operculum, Left",,,
4080,fro,R,2,1,,,,,,,,"frontal operculum, Right",,,
4888,FP,,,,,,,,,,frontal pole,,,,
4889,FP,L,,,,,,,,,,"frontal pole, Left",,,
4890,FP-s,L,2,1,x,,,,,,,,"frontal pole, Left, superior aspect",,
4891,FPi,L,,2,,,,,,,,,"frontal pole, Left, inferior aspect",,
4892,FPm,L,,1,,,,,,,,,"frontal pole, Left, medial aspect",,
4893,FP,R,,,,,,,,,,"frontal pole, Right",,,
4894,FP-s,R,,2,,,,,,,,,"frontal pole, Right, superior aspect",,
4895,FPi,R,,1,,,,,,,,,"frontal pole, Right, inferior aspect",,
4896,FPm,R,,1,,,,,,,,,"frontal pole, Right, medial aspect",,
4047,GRe,,,,x,,,,,,gyrus rectus,,,,
4048,GRe,L,3,3,,,,,,,,"gyrus rectus, Left",,,
4049,GRe,R,5,4,,,,,,,,"gyrus rectus, Right",,,
4035,IFG,,,,,,,,,,inferior frontal gyrus,,,,
4036,IFG,L,,,,,,,,,,"inferior frontal gyrus, Left",,,
4037,IFG,R,,,,,,,,,,"inferior frontal gyrus, Right",,,
4041,opIFG,,,,x,,,,,,,"inferior frontal gyrus, opercular part",,,
4042,opIFG,L,1,1,,,,,,,,,"inferior frontal gyrus, opercular part, Left",,
4043,opIFG,R,2,1,,,,,,,,,"inferior frontal gyrus, opercular part, Right",,
4044,orIFG,,,,x,,,,,,,"inferior frontal gyrus, orbital part",,,
4045,orIFG,L,2,2,,,,,,,,,"inferior frontal gyrus, orbital part, Left",,
4046,orIFG,R,3,2,,,,,,,,,"inferior frontal gyrus, orbital part, Right",,
4038,trIFG,,3,2,x,,,,,,,"Inferior frontal gyrus, triangular part",,,
4039,trIFG,L,1,2,,,,,,,,,"Inferior frontal gyrus, triangular part, Left",,
4040,trIFG,R,,,,,,,,,,,"Inferior frontal gyrus, triangular part, Right",,
4900,IRoG,,,,x,,,,,,inferior rostral gyrus,,,,
4901,IRoG,L,1,2,,,,,,,,"inferior rostral gyrus, Left",,,
4902,IRoG,R,2,2,,,,,,,,"inferior rostral gyrus, Right",,,
4059,LOrG,,,,x,,,,,,lateral orbital gyrus,,,,
4060,LOrG,L,2,1,,,,,,,,"lateral orbital gyrus, Left",,,
4061,LOrG,R,1,3,,,,,,,,"lateral orbital gyrus, Right",,,
4050,MOrG,,,,x,,,,,,medial orbital gyrus,,,,
4051,MOrG,L,1,3,,,,,,,,"medial orbital gyrus, Left",,,
4052,MOrG,R,3,3,,,,,,,,"medial orbital gyrus, Right",,,
4028,MFG,,,,,,,,,,middle frontal gyrus,,,,
4029,MFG,L,,,,,,,,,,"middle frontal gyrus, Left",,,
4030,MFG-s,L,5,6,x,,,,,,,,"middle frontal gyrus, Left, superior bank of gyrus",,
4031,MFG-i,L,7,5,x,,,,,,,,"middle frontal gyrus, Left, inferior bank of gyrus",,
4032,MFG,R,,,,,,,,,,"middle frontal gyrus, Right",,,
4033,MFG-s,R,10,6,,,,,,,,,"middle frontal gyrus, Right, superior bank of gyrus",,
4034,MFG-i,R,7,6,,,,,,,,,"middle frontal gyrus, Right, inferior bank of gyrus",,
4071,PCLa,,,,,,,,,,"paracentral lobule, anterior part",,,,
4072,PCLa,L,,,,,,,,,,"paracentral lobule, anterior part, Left",,,
4073,PCLa-s,L,4,3,x,,,,,,,,"paracentral lobule, anterior part, Left, superior bank of gyrus",,
4074,PCLa-i,L,3,3,x,,,,,,,,"paracentral lobule, anterior part, Left, inferior bank of gyrus",,
4075,PCLa,R,,,,,,,,,,"paracentral lobule, anterior part, Right",,,
4076,PCLa-s,R,3,2,,,,,,,,,"paracentral lobule, anterior part, Right, superior bank of gyrus",,
4077,PCLa-i,R,3,2,,,,,,,,,"paracentral lobule, anterior part, Right, inferior bank of gyrus",,
4065,PTG,,,,,,,,,,paraterminal gyrus,,,,
4066,PTG,L,,,,,,,,,,"paraterminal gyrus, Left",,,
4067,PTG,R,,1,,,,,,,,"paraterminal gyrus, Right",,,
4068,PaOG,,,,x,,,,,,parolfactory gyri,,,,
4069,PaOG,L,1,2,,,,,,,,"parolfactory gyri, Left",,,
4070,PaOG,R,1,,,,,,,,,"parolfactory gyri, Right",,,
4056,POrG,,,,at least n=1 per structure both brains,,,,,,posterior orbital gyrus,,,,
4057,POrG,L,,,,,,,,,,"posterior orbital gyrus, Left",,,
4058,POrG,R,1,2,,,,,,,,"posterior orbital gyrus, Right",,,
